NODE=ip-172-31-55-171 CXX=Ubuntu clang version 18.1.3 (1ubuntu1)
RESULT std=17 ds=random v=base reps=300 sec=0.42275
RESULT std=17 ds=random v=p387old reps=300 sec=0.37662
RESULT std=17 ds=random v=p387new reps=300 sec=0.37670
RESULT std=17 ds=mesh v=base reps=2000 sec=1.14443
RESULT std=17 ds=mesh v=p387old reps=2000 sec=1.05492
RESULT std=17 ds=mesh v=p387new reps=2000 sec=1.03662
RESULT std=17 ds=canada v=base reps=400 sec=0.66764
RESULT std=17 ds=canada v=p387old reps=400 sec=0.59884
RESULT std=17 ds=canada v=p387new reps=400 sec=0.59852
RESULT std=20 ds=random v=base reps=300 sec=0.41951
RESULT std=20 ds=random v=p387old reps=300 sec=0.36684
RESULT std=20 ds=random v=p387new reps=300 sec=0.36770
RESULT std=20 ds=mesh v=base reps=2000 sec=1.15056
RESULT std=20 ds=mesh v=p387old reps=2000 sec=1.00327
RESULT std=20 ds=mesh v=p387new reps=2000 sec=1.00663
RESULT std=20 ds=canada v=base reps=400 sec=0.68385
RESULT std=20 ds=canada v=p387old reps=400 sec=0.60878
RESULT std=20 ds=canada v=p387new reps=400 sec=0.60868
BENCH_DONE ip-172-31-55-171
rc=0 arm
